Left Pressure (N),Right Pressure (N),Trial,Stimuli,Experiment Time Clock (Micro Sec)
0.00,0.00,No_signal,Low_BOI,1124
0.00,0.00,No_signal,Low_BOI,2396
0.00,0.00,No_signal,Low_BOI,32744
0.00,0.00,No_signal,Low_BOI,69140
0.00,0.00,No_signal,Low_BOI,105540
0.00,0.00,No_signal,-1,137780
0.00,0.00,No_signal,-1,170020
0.00,0.00,No_signal,-1,202260
0.00,0.00,No_signal,-1,234504
0.00,0.00,No_signal,-1,266740
0.00,0.00,No_signal,-1,298980
0.00,0.00,No_signal,-1,331224
0.00,0.00,No_signal,-1,363460
0.00,0.00,No_signal,-1,395700
0.00,0.00,No_signal,-1,427940
0.00,0.00,No_signal,-1,460180
0.00,0.00,No_signal,-1,492424
0.00,0.00,No_signal,-1,524660
0.00,0.00,No_signal,-1,556900
0.00,0.00,No_signal,-1,589144
0.00,0.00,No_signal,-1,621380
0.00,0.00,No_signal,-1,653620
0.00,0.00,No_signal,-1,685860
0.00,0.00,No_signal,-1,718100
0.00,0.00,No_signal,-1,750340
0.00,0.00,No_signal,-1,782584
0.00,0.00,No_signal,-1,814820
0.00,0.00,No_signal,-1,847060
0.00,0.00,No_signal,-1,879300
0.00,0.00,No_signal,-1,911548
0.00,0.00,No_signal,-1,943780
0.00,0.00,No_signal,-1,976020
0.00,0.00,No_signal,-1,1008260
0.00,0.00,No_signal,-1,1041544
0.00,0.00,No_signal,-1,1074820
0.00,0.00,No_signal,-1,1108100
0.00,0.00,No_signal,-1,1141380
0.00,0.00,No_signal,-1,1174664
0.00,0.00,No_signal,-1,1207944
0.00,0.00,No_signal,-1,1241220
0.00,0.00,No_signal,-1,1274500
0.00,0.00,No_signal,-1,1307780
0.00,0.00,No_signal,-1,1341060
0.00,0.00,No_signal,-1,1374340
0.00,0.00,No_signal,-1,1407620
0.00,0.00,No_signal,-1,1440900
0.00,0.00,No_signal,-1,1474184
0.00,0.00,No_signal,-1,1507460
0.00,0.00,No_signal,-1,1540744
0.00,0.00,No_signal,-1,1574020
0.00,0.00,No_signal,-1,1607304
0.00,0.00,No_signal,-1,1640584
0.00,0.00,No_signal,-1,1673864
0.00,0.00,No_signal,-1,1707140
0.00,0.00,No_signal,-1,1740420
0.00,0.00,No_signal,-1,1773700
0.00,0.00,No_signal,-1,1806980
0.00,0.00,No_signal,-1,1840260
0.00,0.00,No_signal,-1,1873540
0.00,0.00,No_signal,-1,1906820
