Left Pressure (N),Right Pressure (N),Trial,Stimuli,Experiment Time Clock (Micro Sec)
0.00,0.00,No_signal,Low_BOI,1132
0.00,0.00,No_signal,Low_BOI,2392
0.00,0.00,No_signal,Low_BOI,32744
0.00,0.00,No_signal,Low_BOI,69144
0.00,0.00,No_signal,Low_BOI,105544
0.00,0.00,No_signal,-1,137784
0.00,0.00,No_signal,-1,170024
0.00,0.00,No_signal,-1,202264
0.00,0.00,No_signal,-1,234504
0.00,0.00,No_signal,-1,266744
0.00,0.00,No_signal,-1,298984
0.00,0.00,No_signal,-1,331224
0.00,0.00,No_signal,-1,363464
0.00,0.00,No_signal,-1,395704
0.00,0.00,No_signal,-1,427944
0.00,0.00,No_signal,-1,460184
0.00,0.00,No_signal,-1,492424
0.00,0.00,No_signal,-1,524664
0.00,0.00,No_signal,-1,556904
0.00,0.00,No_signal,-1,589144
0.00,0.00,No_signal,-1,621384
0.00,0.00,No_signal,-1,653624
0.00,0.00,No_signal,-1,685864
0.00,0.00,No_signal,-1,718104
0.00,0.00,No_signal,-1,750344
0.00,0.00,No_signal,-1,782584
0.00,0.00,No_signal,-1,814824
0.00,0.00,No_signal,-1,847064
0.00,0.00,No_signal,-1,879304
0.00,0.00,No_signal,-1,911544
0.00,0.00,No_signal,-1,943784
0.00,0.00,No_signal,-1,976024
0.00,0.00,No_signal,-1,1008264
0.00,0.00,No_signal,-1,1041544
0.00,0.00,No_signal,-1,1074824
0.00,0.00,No_signal,-1,1108104
0.00,0.00,No_signal,-1,1141384
0.00,0.00,No_signal,-1,1174664
0.00,0.00,No_signal,-1,1207944
0.00,0.00,No_signal,-1,1241224
0.00,0.00,No_signal,-1,1274504
0.00,0.00,No_signal,-1,1307784
0.00,0.00,No_signal,-1,1341064
0.00,0.00,No_signal,-1,1374344
0.00,0.00,No_signal,-1,1407624
0.00,0.00,No_signal,-1,1440904
0.00,0.00,No_signal,-1,1474184
0.00,0.00,No_signal,-1,1507464
0.00,0.00,No_signal,-1,1540744
0.00,0.00,No_signal,-1,1574024
0.00,0.00,No_signal,-1,1607304
0.00,0.00,No_signal,-1,1640584
0.00,0.00,No_signal,-1,1673864
0.00,0.00,No_signal,-1,1707144
0.00,0.00,No_signal,-1,1740424
0.00,0.00,No_signal,-1,1773704
0.00,0.00,No_signal,-1,1806984
0.00,0.00,No_signal,-1,1840264
0.00,0.00,No_signal,-1,1873544
0.00,0.00,No_signal,-1,1906824
0.00,0.00,No_signal,-1,1940104
0.00,0.00,No_signal,-1,1973384
0.00,0.00,No_signal,-1,2006664
0.00,0.00,No_signal,-1,2039944
0.00,0.00,No_signal,-1,2073224
0.00,0.00,No_signal,-1,2106504
0.00,0.00,No_signal,-1,2139784
0.00,0.00,No_signal,-1,2173064
0.00,0.00,No_signal,-1,2206344
0.00,0.00,No_signal,-1,2239624
0.00,0.00,No_signal,-1,2272904
0.00,0.00,No_signal,-1,2306184
0.00,0.00,No_signal,-1,2339464
0.00,0.00,No_signal,-1,2372744
0.00,0.00,No_signal,-1,2406024
0.00,0.00,No_signal,-1,2439304
0.00,0.00,No_signal,-1,2472584
0.00,0.00,No_signal,-1,2505864
0.00,0.00,No_signal,-1,2539144
0.00,0.00,No_signal,-1,2572424
0.00,0.00,No_signal,-1,2605704
0.00,0.00,No_signal,-1,2638984
0.00,0.00,No_signal,-1,2672264
0.00,0.00,No_signal,-1,2705544
0.00,0.00,No_signal,-1,2738824
0.00,0.00,No_signal,-1,2772104
0.00,0.00,No_signal,-1,2805384
0.00,0.00,No_signal,-1,2838664
0.00,0.00,No_signal,-1,2871944
0.00,0.00,No_signal,-1,2905224
0.00,0.00,No_signal,-1,2938504
0.00,0.00,No_signal,-1,2971784
0.00,0.00,No_signal,-1,3005064
0.00,0.00,No_signal,Abstract,3044584
0.00,0.00,Stimulus,Abstract,3083064
0.00,0.00,Stimulus,Abstract,3121544
0.00,0.00,Stimulus,Abstract,3160024
0.00,0.00,Stimulus,Abstract,3198504
0.00,0.00,Stimulus,Abstract,3236984
0.00,0.00,Stimulus,Abstract,3275464
0.00,0.00,Stimulus,Abstract,3313944
0.00,0.00,Stimulus,Abstract,3352424
0.00,0.00,Stimulus,Abstract,3390904
0.00,0.00,Stimulus,Abstract,3429384
0.00,0.00,Stimulus,Abstract,3467864
0.00,0.00,Stimulus,Abstract,3506344
0.00,0.00,Stimulus,Abstract,3544824
0.00,0.00,Stimulus,Abstract,3583304
0.00,0.00,Stimulus,Abstract,3621784
0.00,0.00,Stimulus,Abstract,3660264
0.00,0.00,ITI,-1,3687304
0.00,0.00,ITI,-1,3714344
0.00,0.00,ITI,-1,3741384
0.00,0.00,ITI,-1,3768424
0.00,0.00,ITI,-1,3795464
0.00,0.00,ITI,-1,3822504
0.00,0.00,ITI,-1,3849544
0.00,0.00,ITI,-1,3876584
0.00,0.00,ITI,-1,3903624
0.00,0.00,ITI,-1,3930664
0.00,0.00,ITI,-1,3957704
0.00,0.00,ITI,-1,3984744
0.00,0.00,ITI,-1,4011784
0.00,0.00,ITI,-1,4038824
0.00,0.00,ITI,-1,4065864
0.00,0.00,ITI,-1,4092904
0.00,0.00,ITI,-1,4119944
0.00,0.00,ITI,-1,4146984
0.00,0.00,ITI,-1,4174024
0.00,0.00,ITI,-1,4201064
0.00,0.00,ITI,-1,4228104
0.00,0.18,ITI,-1,4255144
0.00,0.00,ITI,-1,4282184
0.00,0.00,ITI,-1,4309224
0.00,0.00,ITI,-1,4336264
0.00,0.00,ITI,-1,4363304
0.00,0.00,ITI,-1,4390352
0.00,0.00,ITI,-1,4417384
0.00,0.00,ITI,-1,4444424
0.00,0.00,ITI,-1,4471464
0.00,0.00,ITI,-1,4498504
0.00,0.00,ITI,-1,4525544
0.00,0.00,ITI,-1,4552584
0.00,0.00,ITI,-1,4579624
0.00,0.00,ITI,-1,4606664
0.00,0.00,ITI,-1,4633704
0.00,0.00,ITI,-1,4660744
0.00,0.00,ITI,-1,4687784
0.00,0.00,ITI,-1,4714824
0.00,0.00,ITI,-1,4741864
0.00,0.00,ITI,-1,4768904
0.00,0.00,ITI,-1,4795944
0.00,0.00,ITI,-1,4822984
0.00,0.00,ITI,-1,4850024
0.00,0.00,ITI,-1,4877064
0.00,0.00,ITI,-1,4904104
0.00,0.00,ITI,-1,4931144
0.00,0.00,ITI,-1,4958184
0.00,0.00,ITI,-1,4985224
0.00,0.00,ITI,-1,5012264
0.00,0.00,ITI,-1,5039304
4.57,0.00,ITI,-1,5066344
5.45,0.00,ITI,-1,5093384
8.09,0.00,ITI,-1,5120424
8.44,0.00,ITI,-1,5147464
10.55,0.00,ITI,-1,5175544
10.02,0.00,ITI,-1,5203624
14.77,0.00,ITI,-1,5231704
15.12,0.00,ITI,-1,5259784
11.78,0.00,ITI,-1,5287864
19.16,0.00,ITI,-1,5315944
21.97,0.00,ITI,-1,5344024
16.35,0.00,ITI,-1,5372104
16.35,0.00,ITI,-1,5400184
22.15,0.00,ITI,-1,5428264
31.64,0.00,ITI,-1,5456344
21.62,0.00,ITI,-1,5484424
8.26,0.00,ITI,-1,5511464
0.00,0.00,ITI,-1,5538504
0.00,0.00,ITI,-1,5565544
0.00,0.00,ITI,-1,5592584
0.00,0.00,ITI,-1,5619624
0.00,0.00,ITI,-1,5646664
0.00,0.00,ITI,-1,5673704
0.00,0.00,ITI,-1,5700744
0.00,0.00,ITI,-1,5727784
0.00,0.00,ITI,-1,5754824
0.00,0.00,ITI,-1,5781864
0.00,0.00,ITI,-1,5808904
0.00,0.00,ITI,-1,5835944
0.00,0.00,ITI,-1,5862984
0.00,0.00,ITI,-1,5890024
0.00,0.00,ITI,-1,5917064
0.00,0.00,ITI,-1,5944104
0.00,0.00,ITI,-1,5971144
0.00,0.00,ITI,-1,5998184
0.00,0.00,ITI,-1,6025224
0.00,0.00,ITI,-1,6052264
0.00,0.00,ITI,-1,6079304
0.00,0.00,ITI,-1,6106344
0.00,0.00,ITI,-1,6133384
0.00,0.00,ITI,-1,6160424
0.00,0.00,ITI,-1,6187468
0.00,0.00,ITI,-1,6214504
0.00,0.00,ITI,-1,6241544
0.18,0.00,ITI,-1,6268584
0.00,0.00,ITI,-1,6295624
0.00,0.00,ITI,-1,6322664
0.00,0.00,ITI,-1,6349704
0.00,0.00,ITI,-1,6376744
0.00,0.00,ITI,-1,6403784
0.00,0.00,ITI,-1,6430824
0.00,0.00,ITI,-1,6457864
0.00,0.00,ITI,-1,6484904
0.00,0.00,ITI,-1,6511944
0.00,0.00,ITI,-1,6538984
0.00,0.00,ITI,-1,6566024
0.00,0.00,ITI,-1,6593064
0.00,0.00,ITI,-1,6620104
0.00,0.00,ITI,-1,6647144
0.00,0.00,ITI,-1,6674184
0.00,0.00,ITI,-1,6701224
0.00,0.35,ITI,-1,6728264
0.00,0.00,ITI,-1,6755304
0.00,0.00,ITI,-1,6782344
0.00,0.00,ITI,-1,6809384
0.00,0.00,ITI,-1,6836424
0.00,0.00,ITI,-1,6863464
0.00,0.00,ITI,-1,6890504
0.00,0.00,ITI,-1,6917544
0.00,0.00,ITI,-1,6944584
0.00,0.00,ITI,-1,6971624
0.00,0.00,ITI,-1,6998664
0.00,0.00,ITI,-1,7025704
0.00,0.00,Stimulus,High_BOI,7064184
0.00,0.00,Stimulus,High_BOI,7102664
0.00,0.00,Stimulus,High_BOI,7141144
0.00,0.00,Stimulus,High_BOI,7179624
0.00,0.00,Stimulus,High_BOI,7218104
0.00,0.00,Stimulus,High_BOI,7256584
0.00,0.00,Stimulus,High_BOI,7295064
0.00,0.00,Stimulus,High_BOI,7333544
0.00,0.00,Stimulus,High_BOI,7372024
0.00,0.00,Stimulus,High_BOI,7410504
0.00,0.00,Stimulus,-1,7442744
0.00,0.00,ITI,-1,7469784
0.00,0.00,ITI,-1,7496824
0.00,0.00,ITI,-1,7523864
0.00,0.00,ITI,-1,7550904
0.00,0.00,ITI,-1,7577944
0.00,0.00,ITI,-1,7604984
0.00,0.00,ITI,-1,7632024
0.00,0.00,ITI,-1,7659064
0.00,0.00,ITI,-1,7686104
0.00,0.00,ITI,-1,7713144
0.00,0.00,ITI,-1,7740184
0.00,0.00,ITI,-1,7767224
0.18,0.00,ITI,-1,7794264
0.00,0.00,ITI,-1,7821304
0.00,0.00,ITI,-1,7848344
0.00,0.00,ITI,-1,7875384
0.00,0.00,ITI,-1,7902424
0.00,0.00,ITI,-1,7929464
0.00,0.00,ITI,-1,7956504
0.00,0.00,ITI,-1,7983544
0.00,0.00,ITI,-1,8010584
0.00,0.00,ITI,-1,8037624
0.00,0.00,ITI,-1,8064664
0.00,0.00,ITI,-1,8091704
0.00,0.00,ITI,-1,8118744
0.00,0.00,ITI,-1,8145784
0.00,0.00,ITI,-1,8172824
0.00,0.00,ITI,-1,8199864
0.00,0.00,ITI,-1,8226904
0.00,0.00,ITI,-1,8253944
0.00,0.00,ITI,-1,8280984
0.00,0.00,ITI,-1,8308024
0.00,0.00,ITI,-1,8335064
0.00,0.00,ITI,-1,8362104
0.00,0.00,ITI,-1,8389144
0.00,0.00,ITI,-1,8416184
0.00,0.00,ITI,-1,8443224
0.00,0.00,ITI,-1,8470264
0.00,0.00,ITI,-1,8497304
0.00,0.00,ITI,-1,8524344
0.00,0.00,ITI,-1,8551384
0.00,0.00,ITI,-1,8578424
0.00,0.00,ITI,-1,8605464
0.00,0.00,ITI,-1,8632504
0.00,0.00,ITI,-1,8659544
0.00,3.16,ITI,-1,8686584
0.00,17.58,ITI,-1,8714664
0.00,33.05,ITI,-1,8742744
0.00,48.16,ITI,-1,8770824
0.00,48.34,ITI,-1,8798904
0.00,52.38,ITI,-1,8826984
0.00,57.48,ITI,-1,8855064
0.00,62.58,ITI,-1,8883144
0.00,60.82,ITI,-1,8911224
0.00,56.43,ITI,-1,8939304
0.00,42.89,ITI,-1,8967384
0.00,9.84,ITI,-1,8994424
0.00,0.00,ITI,-1,9021464
0.00,0.00,ITI,-1,9048504
0.00,0.00,ITI,-1,9075544
0.00,0.00,ITI,-1,9102584
0.00,0.00,ITI,-1,9129624
0.00,0.00,ITI,-1,9156664
0.00,0.00,ITI,-1,9183704
0.00,0.00,ITI,-1,9210744
0.00,0.00,ITI,-1,9237784
0.00,0.00,ITI,-1,9264824
0.00,0.00,ITI,-1,9291864
0.00,0.00,ITI,-1,9318904
0.00,0.00,ITI,-1,9345944
0.00,0.00,ITI,-1,9372984
0.00,0.00,ITI,-1,9400024
0.00,0.00,ITI,-1,9427064
0.00,0.00,ITI,-1,9454104
0.00,0.00,ITI,-1,9481144
0.00,0.00,ITI,-1,9508184
0.00,0.00,ITI,-1,9535224
0.00,0.00,ITI,-1,9562264
0.00,0.00,ITI,-1,9589304
0.00,0.00,ITI,-1,9616344
0.00,0.00,ITI,-1,9643384
0.00,0.00,ITI,-1,9670424
0.00,0.00,ITI,-1,9697464
0.00,0.00,ITI,-1,9724504
0.00,0.00,ITI,-1,9751544
0.00,0.00,ITI,-1,9778584
0.00,0.00,ITI,-1,9805624
0.00,0.00,ITI,-1,9832664
0.00,0.00,ITI,-1,9859704
0.00,0.00,ITI,-1,9886744
0.00,0.00,ITI,-1,9913784
0.00,0.00,ITI,-1,9940824
0.00,0.00,ITI,-1,9967864
0.00,0.00,ITI,-1,9994904
0.00,0.00,ITI,-1,10021944
0.00,0.00,ITI,-1,10050024
0.00,0.00,ITI,-1,10078104
0.00,0.00,ITI,-1,10106184
0.00,0.00,ITI,-1,10134264
0.00,0.00,ITI,-1,10162344
0.00,0.00,ITI,-1,10190424
0.00,0.00,ITI,-1,10218504
0.00,0.00,ITI,-1,10246584
0.00,0.00,ITI,-1,10274664
0.00,0.00,ITI,-1,10302744
0.00,0.00,ITI,-1,10330824
0.00,0.00,ITI,-1,10358904
0.00,0.00,ITI,-1,10386984
0.00,0.00,ITI,-1,10415064
0.00,0.00,ITI,-1,10443144
0.00,0.00,ITI,-1,10471224
0.00,0.00,ITI,-1,10499304
0.00,0.00,ITI,-1,10527384
0.00,0.00,ITI,-1,10555464
0.00,0.00,ITI,-1,10583544
0.00,0.00,ITI,-1,10611624
0.00,0.00,ITI,-1,10639704
0.00,0.00,ITI,-1,10667784
0.00,0.00,ITI,-1,10695864
0.00,0.00,ITI,-1,10723944
0.00,0.00,ITI,-1,10752024
0.00,0.00,ITI,-1,10780112
0.00,0.00,ITI,-1,10808184
0.00,0.00,ITI,-1,10836264
0.00,0.00,ITI,-1,10864344
0.00,0.00,ITI,-1,10892424
0.00,0.00,ITI,-1,10920504
0.00,0.00,ITI,-1,10948584
0.00,0.00,Stimulus,Low_BOI,10987064
0.00,0.00,Stimulus,Low_BOI,11025544
0.00,0.00,Stimulus,Low_BOI,11064024
0.00,0.00,Stimulus,Low_BOI,11102504
0.00,0.00,Stimulus,Low_BOI,11140984
0.00,0.00,Stimulus,Low_BOI,11179472
0.00,0.00,Stimulus,Low_BOI,11217944
0.00,0.00,Stimulus,Low_BOI,11256424
0.00,0.00,Stimulus,Low_BOI,11294904
0.00,0.00,Stimulus,Low_BOI,11333384
0.00,0.00,Stimulus,Low_BOI,11371864
0.00,0.00,Stimulus,Low_BOI,11410344
0.00,0.00,Stimulus,Low_BOI,11448824
0.00,0.00,Stimulus,Low_BOI,11487304
0.00,0.00,ITI,-1,11515384
0.00,0.00,ITI,-1,11543464
0.00,0.00,ITI,-1,11571544
0.00,0.00,ITI,-1,11599624
0.00,0.00,ITI,-1,11627704
0.00,0.00,ITI,-1,11655784
0.00,0.00,ITI,-1,11683864
0.00,0.00,ITI,-1,11711952
0.00,0.00,ITI,-1,11740024
0.00,0.00,ITI,-1,11768104
0.00,0.00,ITI,-1,11796184
0.00,0.00,ITI,-1,11824264
0.00,0.00,ITI,-1,11852344
0.00,0.00,ITI,-1,11880424
0.00,0.00,ITI,-1,11908504
0.00,0.00,ITI,-1,11936584
0.00,0.00,ITI,-1,11964664
0.00,0.00,ITI,-1,11992744
0.00,0.00,ITI,-1,12020824
0.00,0.00,ITI,-1,12048904
0.00,0.00,ITI,-1,12076984
0.00,0.00,ITI,-1,12105064
0.00,0.00,ITI,-1,12133144
0.00,0.00,ITI,-1,12161224
0.00,0.00,ITI,-1,12189304
0.00,0.00,ITI,-1,12217384
0.00,0.00,ITI,-1,12245464
0.00,0.00,ITI,-1,12273544
0.00,0.00,ITI,-1,12301624
0.00,0.00,ITI,-1,12329704
0.00,0.00,ITI,-1,12357784
0.00,0.00,ITI,-1,12385864
0.00,0.00,ITI,-1,12413944
0.00,0.00,ITI,-1,12442024
0.00,0.00,ITI,-1,12470104
0.00,0.00,ITI,-1,12498184
0.00,0.00,ITI,-1,12526264
0.00,0.00,ITI,-1,12554344
0.00,0.00,ITI,-1,12582424
0.00,0.00,ITI,-1,12610504
0.00,0.00,ITI,-1,12638584
0.00,0.00,ITI,-1,12666664
0.00,0.00,ITI,-1,12694744
0.00,0.00,ITI,-1,12722824
0.00,0.00,ITI,-1,12750904
0.00,0.00,ITI,-1,12778984
0.00,0.00,ITI,-1,12807064
0.00,0.00,ITI,-1,12835144
0.00,0.00,ITI,-1,12863224
0.00,0.00,ITI,-1,12891304
0.00,0.00,ITI,-1,12919384
0.00,0.00,ITI,-1,12947464
0.00,0.00,ITI,-1,12975544
0.00,0.00,ITI,-1,13003624
0.00,0.00,ITI,-1,13031704
0.00,0.00,ITI,-1,13059784
0.00,0.00,ITI,-1,13087864
0.00,0.00,ITI,-1,13115944
0.00,0.00,ITI,-1,13144024
0.00,0.00,ITI,-1,13172104
0.00,0.00,ITI,-1,13200184
0.00,0.00,ITI,-1,13228264
0.00,0.00,ITI,-1,13256344
0.00,0.00,ITI,-1,13284424
0.00,0.00,ITI,-1,13312504
0.00,0.00,ITI,-1,13340584
0.00,0.00,ITI,-1,13368664
0.00,0.00,ITI,-1,13396744
0.00,0.00,ITI,-1,13424824
0.00,0.00,ITI,-1,13452904
0.00,0.00,ITI,-1,13480984
0.00,0.00,ITI,-1,13509072
0.00,0.00,ITI,-1,13537144
0.00,0.00,ITI,-1,13565224
0.00,0.00,ITI,-1,13593304
0.00,0.00,ITI,-1,13621384
0.00,0.00,ITI,-1,13649464
0.00,0.00,ITI,-1,13677544
0.00,0.00,ITI,-1,13705624
0.00,7.03,ITI,-1,13733704
0.00,27.60,ITI,-1,13762824
0.00,58.01,ITI,-1,13791944
0.00,74.18,ITI,-1,13821064
0.00,75.06,ITI,-1,13850184
0.00,85.25,ITI,-1,13879304
0.00,90.18,ITI,-1,13908432
0.00,85.96,ITI,-1,13937544
0.00,63.98,ITI,-1,13966664
0.00,20.74,ITI,-1,13995784
0.00,0.00,ITI,-1,14023864
0.00,0.00,ITI,-1,14051944
0.00,0.00,ITI,-1,14080024
0.00,0.00,ITI,-1,14108112
0.00,0.00,ITI,-1,14136184
0.00,0.00,ITI,-1,14164264
0.00,0.00,ITI,-1,14192344
0.00,0.00,ITI,-1,14220424
0.00,0.00,ITI,-1,14248504
0.35,0.00,ITI,-1,14276584
0.00,0.00,ITI,-1,14304664
0.00,0.00,ITI,-1,14332744
0.00,0.00,ITI,-1,14360824
0.00,0.00,ITI,-1,14388904
0.00,0.00,ITI,-1,14416984
0.00,0.00,ITI,-1,14445064
0.00,0.00,ITI,-1,14473144
0.00,0.00,ITI,-1,14501224
0.00,0.00,ITI,-1,14529304
0.00,0.00,ITI,-1,14557384
0.00,0.00,ITI,-1,14585464
0.00,0.00,ITI,-1,14613544
0.00,0.00,ITI,-1,14641624
0.00,0.00,ITI,-1,14669704
0.00,0.00,ITI,-1,14697784
0.00,0.00,ITI,-1,14725864
0.00,0.00,ITI,-1,14753944
0.00,0.00,ITI,-1,14782024
0.00,0.00,ITI,-1,14810104
0.00,0.00,ITI,-1,14838184
0.00,0.00,ITI,-1,14866264
0.00,0.00,ITI,-1,14894344
0.00,0.00,ITI,-1,14922424
0.00,0.00,ITI,-1,14950504
0.00,0.00,ITI,-1,14978584
0.00,0.00,Stimulus,Abstract,15018104
0.00,0.00,Stimulus,Abstract,15057624
0.00,0.00,Stimulus,Abstract,15097144
0.00,0.00,Stimulus,Abstract,15136664
0.00,0.00,Stimulus,Abstract,15176184
0.00,0.00,Stimulus,Abstract,15215704
0.00,0.00,Stimulus,Abstract,15255224
0.00,0.00,Stimulus,Abstract,15294744
0.00,0.00,Stimulus,Abstract,15334264
0.00,0.00,Stimulus,Abstract,15373784
0.00,0.00,Stimulus,Abstract,15413304
0.00,0.00,Stimulus,-1,15446584
0.00,0.00,ITI,-1,15474664
0.00,0.00,ITI,-1,15502744
0.00,0.00,ITI,-1,15530824
0.00,0.00,ITI,-1,15558904
0.00,0.00,ITI,-1,15586984
0.00,0.00,ITI,-1,15615064
0.00,0.00,ITI,-1,15643144
0.00,0.00,ITI,-1,15671224
0.00,0.00,ITI,-1,15699304
0.00,0.00,ITI,-1,15727384
0.00,0.00,ITI,-1,15755464
0.00,0.00,ITI,-1,15783544
0.00,0.00,ITI,-1,15811624
0.00,0.00,ITI,-1,15839704
0.00,0.00,ITI,-1,15867784
0.00,0.00,ITI,-1,15895864
0.00,0.00,ITI,-1,15923944
0.00,0.00,ITI,-1,15952024
0.00,0.00,ITI,-1,15980104
0.00,0.00,ITI,-1,16008184
0.00,0.00,ITI,-1,16036264
0.00,0.00,ITI,-1,16064344
0.00,0.00,ITI,-1,16092424
0.00,0.00,ITI,-1,16120504
0.00,0.00,ITI,-1,16148584
0.00,0.00,ITI,-1,16176664
0.00,0.00,ITI,-1,16204744
0.00,0.00,ITI,-1,16232824
0.00,0.00,ITI,-1,16260904
0.00,0.00,ITI,-1,16288984
0.00,0.00,ITI,-1,16317064
0.00,0.00,ITI,-1,16345144
0.00,0.00,ITI,-1,16373224
0.00,0.00,ITI,-1,16401304
0.00,0.00,ITI,-1,16429384
0.00,0.00,ITI,-1,16457464
0.00,0.00,ITI,-1,16485544
0.00,0.18,ITI,-1,16513624
0.00,16.87,ITI,-1,16542744
0.00,51.33,ITI,-1,16571864
0.00,68.91,ITI,-1,16600984
0.00,79.63,ITI,-1,16630104
0.00,86.48,ITI,-1,16659224
0.00,77.87,ITI,-1,16688344
0.00,36.39,ITI,-1,16717464
0.00,10.02,ITI,-1,16746584
0.00,0.00,ITI,-1,16774664
0.00,0.00,ITI,-1,16802744
0.00,0.00,ITI,-1,16830824
0.00,0.00,ITI,-1,16858904
0.00,0.00,ITI,-1,16886984
0.00,0.00,ITI,-1,16915064
0.00,0.00,ITI,-1,16943144
0.00,0.00,ITI,-1,16971224
0.00,0.00,ITI,-1,16999304
0.00,0.00,ITI,-1,17027384
0.00,0.00,ITI,-1,17055464
0.00,0.00,ITI,-1,17083544
0.00,0.00,ITI,-1,17111624
0.00,0.00,ITI,-1,17139704
0.00,0.00,ITI,-1,17167784
0.00,0.00,ITI,-1,17195864
