Left Reading,Right Reading,Trial,Stimuli,Experiment Time Clock (Micro Sec)
0,0,No_signal,Low_BOI,600
0,0,No_signal,Low_BOI,1292
0,0,No_signal,Low_BOI,12876
0,0,No_signal,Low_BOI,43036
0,0,No_signal,Low_BOI,73196
0,0,No_signal,Low_BOI,103356
0,0,No_signal,-1,129356
0,0,No_signal,-1,155356
0,0,No_signal,-1,181360
0,0,No_signal,-1,207356
0,0,No_signal,-1,233356
0,0,No_signal,-1,259356
0,0,No_signal,-1,285356
0,0,No_signal,-1,311356
0,0,No_signal,-1,337356
0,0,No_signal,-1,363356
0,0,No_signal,-1,389356
0,0,No_signal,-1,415356
0,0,No_signal,-1,441356
0,0,No_signal,-1,467356
0,0,No_signal,-1,493356
0,0,No_signal,-1,519356
0,0,No_signal,-1,545356
0,0,No_signal,-1,571356
0,0,No_signal,-1,597356
0,0,No_signal,-1,623356
0,0,No_signal,-1,649356
0,0,No_signal,-1,675356
0,0,No_signal,-1,701356
0,0,No_signal,-1,727356
0,0,No_signal,-1,753356
0,0,No_signal,-1,779356
0,0,No_signal,-1,805356
0,0,No_signal,-1,831356
0,0,No_signal,-1,857356
0,0,No_signal,-1,883356
0,0,No_signal,-1,909356
0,0,No_signal,-1,935356
0,0,No_signal,-1,961356
0,0,No_signal,-1,987356
0,0,No_signal,-1,1013356
0,0,No_signal,-1,1040396
0,0,No_signal,-1,1067436
0,0,No_signal,-1,1094476
0,0,No_signal,-1,1121516
0,0,No_signal,-1,1148556
0,0,No_signal,-1,1175596
0,0,No_signal,-1,1202636
0,0,No_signal,-1,1229676
0,0,No_signal,-1,1256716
0,0,No_signal,-1,1283756
0,0,No_signal,-1,1310796
0,0,No_signal,-1,1337836
0,0,No_signal,-1,1364876
0,0,No_signal,-1,1391916
0,0,No_signal,-1,1418956
0,0,No_signal,-1,1446000
0,0,No_signal,-1,1473036
0,0,No_signal,-1,1500076
0,0,No_signal,-1,1527116
0,0,No_signal,-1,1554156
0,0,No_signal,-1,1581196
0,0,No_signal,-1,1608236
0,0,No_signal,-1,1635276
0,0,No_signal,-1,1662316
0,0,No_signal,-1,1689356
0,0,No_signal,-1,1716396
0,0,No_signal,-1,1743436
0,0,No_signal,-1,1770476
0,0,No_signal,-1,1797516
0,0,No_signal,-1,1824556
0,0,No_signal,-1,1851596
0,0,No_signal,-1,1878636
0,0,No_signal,-1,1905676
0,0,No_signal,-1,1932716
0,0,No_signal,-1,1959756
0,0,No_signal,-1,1986796
0,0,No_signal,-1,2013836
0,0,No_signal,-1,2040876
0,0,No_signal,-1,2067916
0,0,No_signal,-1,2094956
0,0,No_signal,-1,2121996
1,0,No_signal,-1,2149036
10,0,No_signal,-1,2177116
130,0,No_signal,-1,2206236
164,0,No_signal,-1,2235356
293,0,No_signal,-1,2264476
309,0,No_signal,-1,2293596
292,0,No_signal,-1,2322716
310,0,No_signal,-1,2351836
300,0,No_signal,-1,2380956
210,0,No_signal,-1,2410076
132,0,No_signal,-1,2439196
30,0,No_signal,-1,2467276
0,0,No_signal,-1,2494316
0,0,No_signal,-1,2521356
0,0,No_signal,-1,2548396
0,0,No_signal,-1,2575436
0,0,No_signal,-1,2602476
0,0,No_signal,-1,2629516
0,0,No_signal,-1,2656556
0,0,No_signal,-1,2683596
0,0,No_signal,-1,2710640
0,0,No_signal,-1,2737676
0,0,No_signal,-1,2764716
0,0,No_signal,-1,2791756
0,0,No_signal,-1,2818796
0,0,No_signal,-1,2845836
0,0,No_signal,-1,2872876
0,0,No_signal,-1,2899916
0,0,No_signal,-1,2926956
0,0,No_signal,-1,2953996
0,0,No_signal,-1,2981036
0,0,No_signal,-1,3008076
0,0,No_signal,-1,3035116
0,0,No_signal,-1,3062156
0,0,No_signal,-1,3089196
0,0,No_signal,-1,3116236
0,0,No_signal,-1,3143276
0,0,No_signal,-1,3170316
0,0,No_signal,-1,3197356
0,0,No_signal,-1,3224396
0,0,No_signal,-1,3251436
0,0,No_signal,-1,3278476
0,0,No_signal,-1,3305516
0,0,No_signal,-1,3332556
0,0,No_signal,-1,3359596
0,0,No_signal,-1,3386636
0,0,No_signal,-1,3413676
0,0,No_signal,-1,3440716
0,0,No_signal,-1,3467756
0,0,No_signal,-1,3494796
0,0,No_signal,-1,3521836
0,0,No_signal,-1,3548876
0,0,No_signal,-1,3575920
1,0,No_signal,-1,3602956
0,0,No_signal,-1,3629996
0,0,No_signal,-1,3657036
6,0,No_signal,-1,3684076
6,0,No_signal,-1,3711116
8,0,No_signal,-1,3738156
0,0,No_signal,-1,3765196
