Left Reading,Right Reading,Trial,Stimuli,Experiment Time Clock (Micro Sec)
0,0,No_signal,-1,5277384
0,0,No_signal,-1,5304424
0,0,No_signal,-1,5331464
0,0,No_signal,-1,5358504
0,0,No_signal,-1,5385544
0,0,No_signal,-1,5412584
0,0,No_signal,-1,5439624
0,0,No_signal,-1,5466664
0,0,No_signal,-1,5493704
0,0,No_signal,-1,5520744
0,0,No_signal,-1,5547784
0,0,No_signal,-1,5574824
0,0,No_signal,-1,5601864
0,0,No_signal,-1,5628904
0,0,No_signal,-1,5655944
0,0,No_signal,-1,5682992
0,0,No_signal,-1,5710024
0,0,No_signal,-1,5737064
0,0,No_signal,-1,5764104
0,0,No_signal,-1,5791144
0,0,No_signal,-1,5818184
0,0,No_signal,-1,5845224
0,0,No_signal,-1,5872264
0,0,No_signal,-1,5899304
0,0,No_signal,-1,5926344
0,0,No_signal,-1,5953384
0,0,No_signal,-1,5980424
0,0,No_signal,-1,6007464
0,0,No_signal,-1,6034504
0,0,No_signal,-1,6061544
0,0,No_signal,-1,6088584
0,0,No_signal,-1,6115624
0,0,No_signal,-1,6142664
0,0,No_signal,-1,6169704
0,0,No_signal,-1,6196744
0,0,No_signal,-1,6223784
0,0,No_signal,-1,6250824
0,0,No_signal,-1,6277864
0,0,No_signal,-1,6304904
0,0,No_signal,-1,6331944
0,0,No_signal,-1,6358984
0,0,No_signal,-1,6386024
0,0,No_signal,-1,6413064
0,0,No_signal,-1,6440104
0,0,No_signal,-1,6467144
0,0,No_signal,-1,6494184
0,0,No_signal,-1,6521224
0,0,No_signal,-1,6548272
0,0,No_signal,-1,6575304
0,0,No_signal,-1,6602344
0,0,No_signal,-1,6629384
0,0,No_signal,-1,6656424
0,0,No_signal,-1,6683464
0,0,No_signal,-1,6710504
0,0,No_signal,-1,6737544
0,0,No_signal,-1,6764584
0,0,No_signal,-1,6791624
0,0,No_signal,-1,6818664
0,0,No_signal,-1,6845704
0,0,No_signal,-1,6872744
0,0,No_signal,-1,6899784
0,0,No_signal,-1,6926824
0,0,No_signal,-1,6953864
0,0,No_signal,-1,6980904
0,0,No_signal,-1,7007944
0,0,No_signal,-1,7034984
0,0,No_signal,-1,7062024
0,0,No_signal,-1,7089064
0,0,No_signal,-1,7116104
0,0,No_signal,-1,7143144
0,0,No_signal,-1,7170184
0,0,No_signal,-1,7197224
0,0,No_signal,-1,7224264
0,0,No_signal,-1,7251304
0,0,No_signal,-1,7278344
0,0,No_signal,-1,7305384
0,0,No_signal,-1,7332424
0,0,No_signal,-1,7359464
0,0,No_signal,-1,7386504
0,0,No_signal,-1,7413548
0,0,No_signal,-1,7440584
0,0,No_signal,-1,7467624
0,0,No_signal,-1,7494664
0,0,No_signal,-1,7521704
0,0,No_signal,-1,7548744
0,0,No_signal,-1,7575784
0,0,No_signal,-1,7602824
0,0,No_signal,-1,7629864
0,0,No_signal,-1,7656904
0,0,No_signal,-1,7683944
0,0,No_signal,-1,7710984
0,0,No_signal,-1,7738024
0,0,No_signal,-1,7765064
0,0,No_signal,-1,7792104
0,0,No_signal,-1,7819144
0,0,No_signal,-1,7846184
0,0,No_signal,-1,7873224
0,0,No_signal,-1,7900264
0,0,No_signal,-1,7927304
0,0,No_signal,-1,7954344
0,0,No_signal,-1,7981384
0,0,No_signal,-1,8008424
0,0,No_signal,-1,8035464
0,0,No_signal,High_BOI,8068744
0,0,Stimulus,High_BOI,8100984
0,0,Stimulus,High_BOI,8133224
0,0,Stimulus,High_BOI,8165464
0,0,Stimulus,High_BOI,8197704
0,0,Stimulus,High_BOI,8229944
0,0,Stimulus,High_BOI,8262184
0,0,Stimulus,High_BOI,8294424
0,0,Stimulus,High_BOI,8326664
0,0,Stimulus,High_BOI,8358904
0,0,Stimulus,High_BOI,8391144
0,0,Stimulus,High_BOI,8423384
0,0,Stimulus,High_BOI,8455624
0,0,Stimulus,High_BOI,8487864
0,0,No_signal,-1,8514904
0,0,No_signal,-1,8541944
0,0,No_signal,-1,8568984
0,0,No_signal,-1,8596024
0,0,No_signal,-1,8623064
0,0,No_signal,-1,8650104
0,0,No_signal,-1,8677144
0,0,No_signal,-1,8704184
0,0,No_signal,-1,8731224
0,0,No_signal,-1,8758264
0,0,No_signal,-1,8785304
0,0,No_signal,-1,8812344
0,0,No_signal,-1,8839384
0,0,No_signal,-1,8866424
0,0,No_signal,-1,8893464
0,0,No_signal,-1,8920504
0,0,No_signal,-1,8947544
0,0,No_signal,-1,8974584
0,0,No_signal,-1,9001624
0,0,No_signal,-1,9028664
0,0,No_signal,-1,9055704
0,0,No_signal,-1,9082744
0,0,No_signal,-1,9109784
0,0,No_signal,-1,9136824
0,0,No_signal,-1,9163864
0,0,No_signal,-1,9190904
0,0,No_signal,-1,9217944
0,0,No_signal,-1,9244984
0,0,No_signal,-1,9272024
0,0,No_signal,-1,9299064
0,0,No_signal,-1,9326104
0,0,No_signal,-1,9353144
0,0,No_signal,-1,9380184
0,0,No_signal,-1,9407224
0,0,No_signal,-1,9434264
0,0,No_signal,-1,9461304
0,0,No_signal,-1,9488344
0,0,No_signal,-1,9515384
0,0,No_signal,-1,9542424
0,0,No_signal,-1,9569464
