Left Reading,Right Reading,Trial,Stimuli,Experiment Time Clock (Micro Sec)
0,0,No_signal,Low_BOI,604
0,0,No_signal,Low_BOI,1288
0,0,No_signal,Low_BOI,12868
0,0,No_signal,Low_BOI,43028
0,0,No_signal,Low_BOI,73188
0,0,No_signal,Low_BOI,103348
0,0,No_signal,-1,129348
0,0,No_signal,-1,155348
0,0,No_signal,-1,181348
0,0,No_signal,-1,207348
0,0,No_signal,-1,233348
0,0,No_signal,-1,259348
0,0,No_signal,-1,285348
0,0,No_signal,-1,311348
0,0,No_signal,-1,337348
0,0,No_signal,-1,363348
0,0,No_signal,-1,389348
0,0,No_signal,-1,415348
0,0,No_signal,-1,441348
0,0,No_signal,-1,467348
0,0,No_signal,-1,493348
0,0,No_signal,-1,519348
0,0,No_signal,-1,545348
0,0,No_signal,-1,571348
0,0,No_signal,-1,597348
0,0,No_signal,-1,623348
0,0,No_signal,-1,649348
0,0,No_signal,-1,675348
0,0,No_signal,-1,701348
0,0,No_signal,-1,727348
0,0,No_signal,-1,753348
0,0,No_signal,-1,779348
0,0,No_signal,-1,805348
0,0,No_signal,-1,831348
0,0,No_signal,-1,857348
0,0,No_signal,-1,883348
0,0,No_signal,-1,909348
0,0,No_signal,-1,935348
0,0,No_signal,-1,961348
0,0,No_signal,-1,987348
0,0,No_signal,-1,1013348
0,0,No_signal,-1,1040388
0,0,No_signal,-1,1067436
0,0,No_signal,-1,1094468
0,0,No_signal,-1,1121508
0,0,No_signal,-1,1148548
0,0,No_signal,-1,1175588
0,0,No_signal,-1,1202628
0,0,No_signal,-1,1229668
0,0,No_signal,-1,1256708
0,0,No_signal,-1,1283748
0,0,No_signal,-1,1310788
0,0,No_signal,-1,1337828
0,0,No_signal,-1,1364868
0,0,No_signal,-1,1391908
0,0,No_signal,-1,1418948
0,0,No_signal,-1,1445988
0,0,No_signal,-1,1473028
0,0,No_signal,-1,1500068
0,0,No_signal,-1,1527108
0,0,No_signal,-1,1554148
0,0,No_signal,-1,1581188
0,0,No_signal,-1,1608228
0,0,No_signal,-1,1635268
0,0,No_signal,-1,1662308
0,0,No_signal,-1,1689348
0,0,No_signal,-1,1716388
0,0,No_signal,-1,1743428
0,0,No_signal,-1,1770468
0,0,No_signal,-1,1797508
0,0,No_signal,-1,1824548
0,0,No_signal,-1,1851588
0,0,No_signal,-1,1878628
0,0,No_signal,-1,1905668
0,0,No_signal,-1,1932716
0,0,No_signal,-1,1959748
0,0,No_signal,-1,1986788
0,0,No_signal,-1,2013828
0,0,No_signal,-1,2040868
0,0,No_signal,-1,2067908
0,0,No_signal,-1,2094948
0,0,No_signal,-1,2121988
0,0,No_signal,-1,2149028
0,0,No_signal,-1,2176068
0,0,No_signal,-1,2203108
0,0,No_signal,-1,2230148
0,0,No_signal,-1,2257188
0,0,No_signal,-1,2284228
0,0,No_signal,-1,2311268
0,0,No_signal,-1,2338308
0,0,No_signal,-1,2365348
0,0,No_signal,-1,2392388
0,0,No_signal,-1,2419428
0,0,No_signal,-1,2446468
0,0,No_signal,-1,2473508
0,0,No_signal,-1,2500548
0,0,No_signal,-1,2527588
0,0,No_signal,-1,2554628
0,0,No_signal,-1,2581668
0,0,No_signal,-1,2608708
0,0,No_signal,-1,2635748
0,0,No_signal,-1,2662788
0,0,No_signal,-1,2689828
0,0,No_signal,-1,2716868
0,0,No_signal,-1,2743908
0,0,No_signal,-1,2770948
0,0,No_signal,-1,2797992
0,0,No_signal,-1,2825028
0,0,No_signal,-1,2852068
0,0,No_signal,-1,2879108
0,0,No_signal,-1,2906148
0,0,No_signal,-1,2933188
0,0,No_signal,-1,2960228
0,0,No_signal,-1,2987268
0,0,No_signal,-1,3014308
0,0,No_signal,-1,3041348
0,0,No_signal,-1,3068388
0,0,No_signal,-1,3095428
0,0,No_signal,-1,3122468
0,0,No_signal,-1,3149508
0,0,No_signal,-1,3176548
0,0,No_signal,-1,3203588
0,0,No_signal,-1,3230628
0,0,No_signal,-1,3257668
0,0,No_signal,-1,3284708
0,0,No_signal,-1,3311748
0,0,No_signal,-1,3338788
0,0,No_signal,-1,3365828
0,0,No_signal,-1,3392868
0,0,No_signal,-1,3419908
0,0,No_signal,-1,3446948
