Left Pressure (N),Right Pressure (N),Trial,Stimuli,Experiment Time Clock (Micro Sec)
0.00,0.00,ITI,-1,5043448
0.00,0.00,ITI,-1,5070488
0.00,0.00,ITI,-1,5097528
0.00,0.00,ITI,-1,5124568
0.00,0.00,ITI,-1,5151608
0.00,0.00,ITI,-1,5178648
0.00,0.00,ITI,-1,5205688
0.00,0.00,ITI,-1,5232728
0.00,0.00,ITI,-1,5259768
0.00,0.00,ITI,-1,5286808
0.00,0.00,ITI,-1,5313848
0.00,0.00,ITI,-1,5340888
0.00,0.00,ITI,-1,5367928
0.00,0.00,ITI,-1,5394968
0.00,0.00,ITI,-1,5422008
0.00,0.00,ITI,-1,5449048
0.00,0.00,ITI,-1,5476088
0.00,0.00,ITI,-1,5503128
0.00,0.00,ITI,-1,5530168
0.00,0.00,ITI,-1,5557208
0.00,0.00,ITI,-1,5584248
0.00,0.00,ITI,-1,5611288
0.00,0.00,ITI,-1,5638328
0.00,0.00,ITI,-1,5665368
0.00,0.00,ITI,-1,5692408
0.00,0.00,ITI,-1,5719448
0.00,0.00,ITI,-1,5746488
0.00,0.00,ITI,-1,5773528
0.00,0.00,ITI,-1,5800568
0.00,0.00,ITI,-1,5827608
0.00,0.00,ITI,-1,5854648
0.00,0.00,ITI,-1,5881688
0.00,0.00,ITI,-1,5908728
0.00,0.00,ITI,-1,5935768
0.00,0.00,ITI,-1,5962808
0.00,0.00,ITI,-1,5989848
0.00,0.00,ITI,-1,6016888
0.00,0.00,ITI,-1,6043928
0.00,0.00,ITI,-1,6070968
0.00,0.00,ITI,-1,6098008
0.00,0.00,ITI,-1,6125048
0.00,0.00,ITI,-1,6152088
0.00,0.00,ITI,-1,6179128
0.00,0.00,ITI,-1,6206168
0.00,0.00,ITI,-1,6233208
0.00,0.00,ITI,-1,6260248
0.00,0.00,ITI,-1,6287288
0.00,0.00,ITI,-1,6314328
0.00,0.00,ITI,-1,6341368
0.00,0.00,ITI,-1,6368408
0.00,0.00,ITI,-1,6395448
0.00,0.00,ITI,-1,6422488
0.00,0.00,ITI,-1,6449528
0.00,0.00,ITI,-1,6476568
0.00,0.00,ITI,-1,6503608
0.00,0.00,ITI,-1,6530648
0.00,0.00,ITI,-1,6557688
0.00,0.00,ITI,-1,6584728
0.00,0.00,ITI,-1,6611768
0.00,0.00,ITI,-1,6638808
0.00,0.00,ITI,-1,6665848
0.00,0.00,ITI,-1,6692888
0.00,0.00,ITI,-1,6719928
0.00,0.00,ITI,-1,6746968
0.00,0.00,ITI,-1,6774008
0.00,0.00,ITI,-1,6801048
0.00,0.00,ITI,-1,6828088
0.00,0.00,ITI,-1,6855128
16.70,0.00,ITI,-1,6883208
17.93,0.00,ITI,-1,6911288
20.74,0.00,ITI,-1,6939368
25.14,0.00,ITI,-1,6967448
30.94,0.00,ITI,-1,6995528
31.64,0.00,ITI,-1,7023608
21.27,0.00,ITI,-1,7051688
21.62,0.00,ITI,-1,7079768
15.47,0.00,ITI,-1,7107848
0.18,0.00,ITI,-1,7134888
0.00,0.00,ITI,-1,7161928
0.00,0.00,ITI,-1,7188968
0.00,0.00,Stimulus,Low_BOI,7226408
0.00,0.00,Stimulus,Low_BOI,7263848
0.00,0.00,Stimulus,Low_BOI,7301288
0.00,0.00,Stimulus,Low_BOI,7338728
0.00,0.00,Stimulus,Low_BOI,7376168
0.00,0.00,Stimulus,Low_BOI,7413608
0.00,0.00,Stimulus,Low_BOI,7451048
0.00,0.00,Stimulus,Low_BOI,7488488
0.00,0.00,Stimulus,Low_BOI,7525928
0.00,0.00,Stimulus,Low_BOI,7563368
0.00,0.00,Stimulus,Low_BOI,7600808
0.00,0.00,Stimulus,Low_BOI,7638248
0.00,0.00,ITI,-1,7665288
0.00,0.00,ITI,-1,7692328
0.00,0.00,ITI,-1,7719368
0.00,0.00,ITI,-1,7746408
0.00,0.00,ITI,-1,7773448
0.00,0.00,ITI,-1,7800488
0.00,0.00,ITI,-1,7827528
0.00,0.00,ITI,-1,7854568
0.00,0.00,ITI,-1,7881608
0.00,0.00,ITI,-1,7908648
0.00,0.00,ITI,-1,7935688
0.00,0.00,ITI,-1,7962728
0.00,0.00,ITI,-1,7989768
0.00,0.00,ITI,-1,8016808
0.00,0.00,ITI,-1,8043848
0.00,0.00,ITI,-1,8070888
0.00,0.00,ITI,-1,8097928
0.00,0.00,ITI,-1,8124968
0.00,0.00,ITI,-1,8152008
0.00,0.00,ITI,-1,8179048
0.00,0.00,ITI,-1,8206088
0.00,0.00,ITI,-1,8233128
6.15,0.00,ITI,-1,8260168
33.75,0.00,ITI,-1,8288248
37.62,0.00,ITI,-1,8316328
39.38,0.00,ITI,-1,8344408
42.54,0.00,ITI,-1,8372488
47.64,0.00,ITI,-1,8400568
60.12,0.00,ITI,-1,8428648
63.28,0.00,ITI,-1,8456728
66.45,0.00,ITI,-1,8484808
69.61,0.00,ITI,-1,8512888
73.12,0.00,ITI,-1,8540968
76.99,0.00,ITI,-1,8569048
77.52,0.00,ITI,-1,8597128
76.29,0.00,ITI,-1,8625208
61.00,0.00,ITI,-1,8653288
37.27,0.00,ITI,-1,8681368
0.00,0.00,ITI,-1,8708408
0.00,0.00,ITI,-1,8735448
0.00,0.00,ITI,-1,8762488
0.00,0.00,ITI,-1,8789528
0.00,0.00,ITI,-1,8816568
0.00,0.00,ITI,-1,8843608
0.00,0.00,ITI,-1,8870648
0.00,0.00,ITI,-1,8897688
0.00,0.00,ITI,-1,8924728
0.00,0.00,ITI,-1,8951768
0.00,0.00,ITI,-1,8978808
0.00,0.00,ITI,-1,9005848
0.00,0.00,ITI,-1,9032888
0.00,0.00,ITI,-1,9059928
0.00,0.00,ITI,-1,9086968
0.00,0.00,ITI,-1,9114008
0.00,0.00,ITI,-1,9141048
0.00,0.00,ITI,-1,9168088
0.00,0.00,ITI,-1,9195128
0.00,0.00,ITI,-1,9222168
0.00,0.00,ITI,-1,9249208
0.00,0.00,ITI,-1,9276248
0.00,0.00,ITI,-1,9303288
0.00,0.00,ITI,-1,9330328
0.00,0.00,ITI,-1,9357368
0.00,0.00,ITI,-1,9384408
0.00,0.00,ITI,-1,9411448
0.00,0.00,ITI,-1,9438488
0.00,0.00,ITI,-1,9465528
0.00,0.00,ITI,-1,9492568
0.00,0.00,ITI,-1,9519608
0.00,0.00,ITI,-1,9546648
0.00,0.00,ITI,-1,9573688
0.00,0.00,ITI,-1,9600728
0.00,0.00,ITI,-1,9627768
0.00,0.00,ITI,-1,9654808
0.00,0.00,ITI,-1,9681848
0.00,0.00,ITI,-1,9708888
0.00,0.00,ITI,-1,9735928
0.00,0.00,ITI,-1,9762968
0.00,0.00,ITI,-1,9790008
0.00,0.00,ITI,-1,9817048
0.00,0.00,ITI,-1,9844088
0.00,0.00,ITI,-1,9871128
0.00,0.00,ITI,-1,9898168
0.00,0.00,ITI,-1,9925208
0.00,0.00,ITI,-1,9952248
0.00,0.00,ITI,-1,9979288
0.00,0.00,ITI,-1,10006328
0.00,0.00,ITI,-1,10034408
0.00,0.00,ITI,-1,10062488
0.00,0.00,ITI,-1,10090568
0.00,0.00,ITI,-1,10118648
0.00,0.00,ITI,-1,10146728
0.00,0.00,ITI,-1,10174808
0.00,0.00,ITI,-1,10202888
0.00,0.00,ITI,-1,10230968
0.00,0.00,ITI,-1,10259048
0.00,0.00,ITI,-1,10287128
29.36,0.00,ITI,-1,10316248
43.42,0.00,ITI,-1,10345368
55.02,0.00,ITI,-1,10374488
58.01,0.00,ITI,-1,10403608
63.46,0.00,ITI,-1,10432728
69.96,0.00,ITI,-1,10461848
66.45,0.00,ITI,-1,10490968
70.31,0.00,ITI,-1,10520088
57.13,0.00,ITI,-1,10549208
